project_index,project_name,country,plant_year,project_type,project_function,pv_system,module_type,cell_type,transparency,extra_data,installed_power_kWp_,surface_area_m2,yield_kWh_per_A,specific_power_W_per_m2,color,texture,module_size,module_shape,cell_visibility,context,facade_ratio,orientation,inclination_degrees,type_of_integration,façade_composition_1,facade_composition_2,concept,module_orientation,ornamentation
1,Alan Gilbert Building,Australia,2001,New,Educational,Facade Glazing,-,-,Translucent,46 kWp,46,-,-,-,Black,Flat,Large,Rectangular,Yes,Urban,>0.5,N,80,Warm Facade,Homogeneous,Banner,Dominant,Vertical,No
2,K2 Apartments,Australia,2007,New,Residential,Facade Cladding,-,-,Opaque,22 kWp,22,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,N,50,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
3,Active Energy Tower Fronius,Austria,2013,New,Office,Curtain wall,Monocrystalline,-,Translucent,"38.8 kWp, 630 m2, -",38.8,630,-,-,Black,Flat,Large,Rectangular,Yes,Urban,>0.5,All,90,Warm Facade,Homogeneous,Flat,Integration,Vertical,No
4,Genböch Bungalow Best Ager,Austria,2011,New,Residential,Unknown,Polycrystalline ,Poly,Opaque,2011;Swiss BIPV Competence Center;0,2.3,-,-,-,Blue,Flat,Large,Rectangular,Yes,Agglomeration,<0.5,SW,75,Rainscreen,Homogeneous,Flat,Dominant,Vertical,No
5,Dwelling Houses Spinnereistrasse,Austria,2003,-,Residential,Solar Control,-,-,Opaque,-,-,-,-,-,Blue,Flat,Large,Rectangular,No,Agglomeration,<0.5,E;S;W,90,Solar Control,Heterogeneous,Rhythmic,Integration,Vertical,No
6,EFH Lech am Arlberg,Austria,2013,New,Residential,Facade Security,Monocrystalline,Mono,Translucent,7.6 kWp,7.6,-,-,-,Grey,Flat,Standard,Rectangular,Yes,Rural,<0.5,S;W,90,Facade Security,Heterogeneous,Flat,Integration,Horizontal,No
7,Energiepark West,Austria,1996,-,-,Facade Cladding,Polycrystalline ,-,Opaque,150 m2,-,150,-,-,Blue,Flat,Large,Rectangular,-,Rural,1,S,90,-,Homogeneous,Rhythmic,Dominant,Vertical,No
8,ENERGYbase,Austria,2008,New,Office,Integrated,Monocrystalline,Mono,-,2008;IEA Case Studies;42416,46,400,37000,-,Blue,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,45,Warm Facade,Heterogeneous,ZigZag,Integration,Horizontal,No
9,Froniuswerk,Austria,2007,-,-,Facade Glazing,-,-,Translucent,608 kWp,608,-,-,-,Black,Flat,Standard,Rectangular,-,Rural,<0.5,S,90,-,Heterogeneous,Flat,Subordination,Horizontal,No
10,Haus Frick,Austria,1995,-,-,Facade Cladding,-,-,Opaque,0.4 kWp,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Kriegerhornbahn,Austria,2004,New,Public,Unknown,Monocrystalline,Mono,-,2004;Swiss BIPV Competence Center;8550,-,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Mountain,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Flat,Subordination,Horizontal,No
12,Omicron Headquarter,Austria,2015,New,Office,Rainscreen,Monocrystalline,-,Opaque,"92 kWp,780 m2, 66000 kWh",92,780,66000,-,Blue,Flat,Standard,Rectangular,Yes,Rural,1,S,90,Rainscreen,Homogeneous,Rhythmic,Dominant,Vertical,Yes
13,Power Plant Dorferbach,Austria,2005,-,Industrial,Facade Cladding,-,-,Opaque,2.83 kWp,2.83,-,-,-,Green,Flat,Standard,Rectangular,Yes,Rural,<0.5,S,90,Rainscreen,Heterogeneous,Flat,Subordination,Vertical,No
14,Power Tower,Austria,2008,-,-,Facade Cladding,-,-,Opaque,66 kWp,66,700,42000,-,Blue,Flat,Large,Rectangular,Yes,Urban,>0.5,SW,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
15,Schiestlhaus,Austria,2005,-,-,Rainscreen,-,-,Opaque,-,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Mountain,<0.5,S,70,Attached,Heterogeneous,HighTech,Subjugation,Horizontal,No
16,SG Ennstal,Austria,2011,Retrofit,Office,Cold Facade,Polycrystalline ,-,Opaque,Urban;1.9 kWp;48 m2,1.9,48,-,-,Red,Flat,Custom,Rectangular,Yes,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Grid,Integration,Mixed,No
17,SOL4-Eichkogel,Austria,2004,-,-,Facade Cladding,-,-,Opaque,28 kWp,28,-,-,-,Black,Flat,Custom,Square,Yes,Rural,<0.5,SE;SW,90,Rainscreen,Homogeneous,Grid,Integration,Centric,No
18,Sport- und Wellnessbad Eggenberg,Austria,2011,-,Public,Facade Cladding,-,-,Opaque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,TROP,Austria,2004,-,-,Facade Cladding,-,-,Opaque,-,-,-,-,-,Blue,Flat,Standard,Square,Yes,Rural,1,SE;SW,90,Rainscreen,Homogeneous,Grid,Dominant,Centric,No
20,AGC Glass Europe Technovation Centre,Belgium,2014,-,Industrial,Facade Glazing,-,-,Translucent,19.37 kWp,19.37,-,-,-,Black,Flat,Large,Rectangular,Yes,Rural,0.5,S,90,Solar Control,Heterogeneous,Rhythmic,Dominant,Vertical,No
21,Euro Space Center,Belgium,2009,Retrofit,Public,Louvres Balcony,Polycrystalline ,-,Translucent,Urban;16 kWp ;5060 m2,16,5060,-,-,Blue,Flat,Small,Square,Yes,Rural,1,SE;SW,45,Solar Control,Heterogeneous,ZigZag,Dominant,Centric,No
22,Swimming pool,Belgium,2016,-,Educational,Facade Glazing,Monocrystalline,-,Translucent,-,-,-,-,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,>0.5,S,90,Warm Facade,Homogeneous,Flat,Integration,Vertical,No
23,The Treurenberg building,Belgium,2015,-,-,Facade Cladding,-,-,Opaque,122 kWp,122,-,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,>0.5,E;S;W,90,Rainscreen,Homogeneous,Grid,Integration,Mixed,No
